LOAN_NUMBER,SAMPLE_DATE,FILE_REQ_DATE,SECOND_REQUEST_DATE,SENT_TO_IMAGING_DATE,LENDER_RESPONSE_DUE_DATE,DATE_LOAN_FINALIZED,LENDER_ID,LENDER_NAME,LENDER_LOAN_ID,PROP_STATE,NEW_CONSTRUCTION_INDICATOR,CONDOMINIUM_INDICATOR,LOAN_ORIG_DATE, CURRENT_BALANCE ,FICO_SCORE,LTV, ORIG_VALUE , AVM_VALUE ,FIELD_REVIEW_VALUE_SUPPORTED,FIELD_REVIEW_VALUE,PURPOSE_CODE,OCCUPANCY_CODE,LENDER_INST_TYPE_DESCRIPTION,UNDERWRITER_NAME,REVIEW_DATE,REVIEW_STATUS,DEAL_NAME,START_DATE,
20923082,10/12/2011,10/14/2011,,10/20/2011,,12/5/2011,UNKGOH,Volunteer State Bank,30084,CO,No,No,9/26/2011," $122,250.00 ",718,92.61000061," $132,000.00 ",,,,R,B,Community Banks,Allie Martin,11/4/2011,4,WFMBS 2006-5,6/1/2013,
27442091,5/2/2012,5/2/2012,,5/21/2012,,5/23/2012,GCRYER,Ally Bank,603144095,RI,No,No,6/30/2011," $227,000.00 ",719,84.06999969," $270,000.00 "," $253,000.00 ",,,X,B,Mortgage Banker - (Large),Mike Willams,5/22/2012,4,WFMBS 2006-AR4,6/1/2013,
33475602,4/19/2011,4/28/2011,,5/20/2011,,6/1/2011,EWYVXW,CCFCU Funding LLC,70363,NY,No,No,1/25/2011," $156,000.00 ",719,85.25," $183,000.00 ",,,,R,B,Credit Unions,Mike Willams,6/1/2011,4,WFMBS 2006-AR4,6/1/2013,
23498088,7/11/2012,7/12/2012,,7/24/2012,,9/27/2012,NQPKHK,Mountain West Bank NA,6800528227,MN,No,No,4/27/2012," $306,834.00 ",719,90," $345,000.00 ",,N/A,,P,B,Community Banks,Eric Miller,8/15/2012,4,WFMBS 2006-AR4,6/1/2013,
25319825,7/11/2012,7/12/2012,,7/17/2012,,7/23/2012,DAJWZR,360 Mortgage Group LLC,10030222,AZ,No,No,5/14/2012," $70,300.00 ",719,95," $74,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,7/19/2012,4,WFMBS 2006-AR4,6/1/2013,
29225945,12/10/2012,12/11/2012,12/27/2012,1/14/2013,,1/28/2013,PKBRDF,CUC Mortgage Corporation,49178,NY,No,No,10/18/2012," $77,900.00 ",719,95," $82,000.00 ",,,,P,B,Credit Unions,Allie Martin,1/28/2013,4,WFMBS 2006-AR4,6/1/2013,
17576657,10/12/2011,10/14/2011,,11/8/2011,,12/29/2011,PDZMJD,The Bankers Guarantee Title & Trust Company,55572,OH,No,No,8/30/2011," $118,750.00 ",719,95," $133,500.00 "," $129,000.00 ",,,P,B,Mortgage Banker - Bank Owned,Allie Martin,12/20/2011,4,SEMT 2012-1,6/1/2013,
16145641,8/25/2011,8/26/2011,9/19/2011,10/5/2011,,10/10/2011,JQREBS,CUC Mortgage Corporation,43692,NY,No,No,6/10/2011," $135,850.00 ",719,95," $143,000.00 ",,N/A,,P,B,Credit Unions,Steve Winston,10/10/2011,4,WFMBS 2006-5,6/1/2013,
21255783,8/10/2012,,,,,10/25/2012,XIJFKJ,Guaranteed Rate Inc,,MA,No,No,," $261,250.00 ",719,95," $295,000.00 "," $286,000.00 ",,,P,B,Mortgage Banker - (Large),Rob Jacobs,9/25/2012,4,SEMT 2012-5,6/1/2013,
24283176,6/21/2011,6/23/2011,,7/6/2011,,8/12/2011,KRFBKB,First State Bank,14524811,NC,No,No,5/18/2011," $272,000.00 ",720,85," $320,000.00 ",,N/A,,R,B,Mortgage Banker - Bank Owned,Steve Winston,7/19/2011,4,WFMBS 2006-AR4,6/1/2013,
26735798,6/1/2010,8/9/2010,,,3/23/2011,3/3/2011,TWYTXB,Global Credit Union,216022152,WA,No,No,8/3/2009," $292,500.00 ",720,90," $325,500.00 ",,,,P,B,Credit Unions,Mike Willams,8/27/2010,4,SEMT 2012-5,6/1/2013,
32564316,7/11/2012,7/12/2012,,8/2/2012,,10/1/2012,NRXGIT,First California Mortgage Company,1020953,AZ,No,No,4/10/2012," $60,050.00 ",720,94.94000244," $65,000.00 ",,,,P,B,Mortgage Banker - (Large),Mike Willams,9/17/2012,4,SEMT 2012-5,6/1/2013,
23396015,6/25/2012,6/25/2012,,,,7/19/2012,PYTUNS,All Home Lending Inc,6800536804,CA,No,No,5/4/2012," $220,400.00 ",720,95," $232,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,6/26/2012,4,SEMT 2012-1,6/1/2013,
31124868,7/11/2012,7/12/2012,,7/17/2012,,8/10/2012,KCGUGK,Stearns Lending Inc,5199914193,CA,No,No,6/12/2012," $242,250.00 ",720,95," $255,000.00 ",,,,P,B,Mortgage Banker - (Large),Mike Willams,7/30/2012,4,SEMT 2012-5,6/1/2013,
33811272,10/12/2011,10/14/2011,,10/20/2011,,12/5/2011,RYYXCS,Volunteer State Bank,30131,CO,No,No,9/16/2011," $254,600.00 ",720,95," $268,000.00 "," $252,000.00 ",,,P,B,Community Banks,Allie Martin,11/4/2011,4,WFMBS 2006-5,6/1/2013,
30229172,1/11/2013,1/16/2013,,2/4/2013,,,XWTJTT,United Fidelity Funding Corporation,432676922,MO,No,No,10/4/2012," $164,500.00 ",721,84.36000061," $195,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,,,,SEMT 2012-5,6/1/2013,
26002535,6/1/2010,5/13/2010,,,3/7/2011,3/2/2011,FUXKTK,Chicago Mortgage Solutions Corporation,1121149849,IL,No,No,1/22/2010," $155,000.00 ",721,86.11000061,,,N/A,,R,B,Mortgage Banker - Bank Owned,Steve Winston,9/20/2010,4,WFMBS 2006-5,6/1/2013,
33161592,3/15/2012,3/19/2012,,4/4/2012,,5/3/2012,CLKMGO,BB&T Corp,6615949564,MD,No,No,1/27/2012," $198,000.00 ",721,90," $228,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,4/25/2012,4,SEMT 2012-1,6/1/2013,
17967114,6/1/2010,9/2/2010,,,,9/22/2010,OJMJXV,CU America Financial Services Inc,6800297272,IL,No,No,1/25/2010," $133,000.00 ",721,91.72000122,,,,,R,B,Credit Unions,Allie Martin,9/22/2010,4,SEMT 2012-1,6/1/2013,
26539124,3/15/2012,3/19/2012,,4/3/2012,,4/25/2012,LQGHFN,Peoples National Bank NA,40289,IL,No,No,2/8/2012," $186,675.00 ",721,91.73000336," $203,500.00 ",,,,R,B,Community Banks,Mike Willams,4/19/2012,4,SEMT 2012-1,6/1/2013,
22483881,3/15/2012,3/19/2012,,4/24/2012,6/26/2012,6/14/2012,PDRDLR,Bridgeview Bank Group,5779138161,IL,No,No,2/7/2012," $90,250.00 ",721,95," $96,000.00 ",,N/A,,P,B,Community Banks,Steve Winston,6/1/2012,4,SEMT 2012-5,6/1/2013,
17988163,6/1/2010,9/2/2010,,,3/7/2011,2/11/2011,QHXOXD,Key Mortgage Services Inc,6993206626,IL,No,No,2/8/2010," $171,000.00 ",721,95," $180,000.00 "," $171,000.00 ",N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,11/4/2010,4,WFMBS 2006-5,6/1/2013,
18314379,11/23/2010,1/10/2011,,,,3/17/2011,CVGVDL,Nasa Federal Credit Union,6993611342,MD,No,No,7/29/2010," $311,125.00 ",721,95," $327,500.00 "," $306,000.00 ",N/A,,P,B,Credit Unions,Steve Winston,3/17/2011,4,WFMBS 2006-5,6/1/2013,
21077243,1/11/2013,1/16/2013,,2/4/2013,,,BZZWOU,Myers Park Mortgage Inc,48049175,GA,No,No,11/14/2012," $213,300.00 ",722,86.36000061," $247,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,,,,SEMT 2012-1,6/1/2013,
24813880,10/8/2012,10/10/2012,,10/16/2012,,11/9/2012,RINLKQ,Willow Bend Mortgage Company,428898621,TX,No,No,7/27/2012," $324,000.00 ",722,87.56999969," $370,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,Allie Martin,11/1/2012,4,SEMT 2012-1,6/1/2013,
16103089,10/8/2012,10/16/2012,11/1/2012,11/16/2012,,1/3/2013,HLYGES,Exchange Bank and Trust Company,,OK,No,No,6/22/2012," $147,207.00 ",722,87.62999725," $165,000.00 ",,,,R,B,Community Banks,Mike Willams,1/3/2013,4,WFMBS 2006-AR4,6/1/2013,
32443523,6/1/2010,7/19/2010,,,,2/2/2011,AYYWPK,K Hovnanian Mortgage Inc,216486368,CA,No,No,3/31/2010," $223,000.00 ",722,89.98999786," $249,000.00 ",,N/A,,P,B,Mortgage Banker - (Large),Allie Martin,8/6/2010,4,SEMT 2012-5,6/1/2013,
28660680,6/1/2010,8/9/2010,,,3/23/2011,3/22/2011,QKLKEY,MidFlorida Credit Union,2100239842,FL,No,No,2/23/2010," $72,810.00 ",722,90," $85,000.00 ",,,,P,B,Credit Unions,Mike Willams,9/21/2010,4,SEMT 2012-5,6/1/2013,
26489325,9/21/2011,9/28/2011,,10/7/2011,,10/27/2011,UIJBPC,MidFlorida Credit Union,2100244097,FL,No,No,5/20/2011," $73,800.00 ",722,90," $85,000.00 ",,,,P,B,Credit Unions,Allie Martin,10/13/2011,4,SEMT 2012-5,6/1/2013,
18952333,4/9/2010,,,,,4/9/2010,CVHYPY,Citizens First Bancorp Inc,501789716,MI,No,No,1/8/2010," $189,000.00 ",722,90,,,,,P,B,Community Banks,,,5,WFMBS 2006-AR4,6/1/2013,
25706417,7/11/2012,7/12/2012,,7/25/2012,9/14/2012,9/7/2012,AUZXBC,Inland Bank & Trust,413811936,IL,No,Yes,5/14/2012," $254,250.00 ",722,90," $285,000.00 ",,N/A,,P,B,Community Banks,Steve Winston,8/16/2012,4,WFMBS 2006-AR4,6/1/2013,
23650900,7/11/2012,7/12/2012,,7/27/2012,,9/17/2012,SOVUJJ,RMR Financial LLC,412196123,CA,No,No,4/5/2012," $353,700.00 ",722,90," $393,000.00 ",,N/A,,R,B,Mortgage Banker - Bank Owned,Steve Winston,8/30/2012,4,WFMBS 2006-5,6/1/2013,
15474879,1/11/2013,1/16/2013,,,,,BNIXIT,Wall Street Mortgage Bankers Ltd,17637455,NY,No,No,10/22/2012," $367,100.00 ",722,94.98000336," $386,500.00 ",,,,P,B,Mortgage Banker - (Large),,,,WFMBS 2006-5,6/1/2013,
34346817,9/28/2012,9/28/2012,,,,10/23/2012,ONTKBP,Homestate Mortgage Company LLC,10067691,AK,No,No,8/15/2012," $237,500.00 ",722,95," $250,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Eric Miller,10/9/2012,4,SEMT 2012-5,6/1/2013,
20872135,9/21/2011,9/28/2011,11/4/2011,11/8/2011,,12/29/2011,DSDGSI,Red Canoe Credit Union,33903600,WA,No,No,6/10/2011," $65,475.00 ",722,97," $79,000.00 "," $104,000.00 ",,,P,B,Credit Unions,Allie Martin,12/13/2011,4,WFMBS 2006-AR4,6/1/2013,
23054003,6/1/2010,9/2/2010,,,,10/29/2010,RULNAM,Key Mortgage Services Inc,1006157019,IL,No,Yes,1/29/2010," $325,975.00 ",723,85," $385,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,10/29/2010,4,WFMBS 2006-5,6/1/2013,
17824491,4/19/2011,5/4/2011,,6/6/2011,,6/28/2011,WWRGDE,CU Companies Of Texas LLC,801-8081442,TX,No,No,12/22/2010," $120,000.00 ",723,85.11000061," $141,000.00 ",,,,R,B,Credit Unions,Mike Willams,6/28/2011,4,SEMT 2012-1,6/1/2013,
30807280,10/4/2011,10/5/2011,,10/13/2011,,10/21/2011,MRUXSR,First Interstate Bank,5308619,MT,No,No,12/22/2010," $105,000.00 ",723,89.12000275," $120,000.00 ",,,,R,B,Community Banks,Mike Willams,10/20/2011,4,WFMBS 2006-5,6/1/2013,
21756483,7/11/2012,7/12/2012,8/3/2012,8/7/2012,,9/20/2012,CDARZY,Citywide Home Loans a Utah corporation,214358988,UT,No,No,5/8/2012," $337,500.00 ",723,90," $375,000.00 ",,,,P,G,Mortgage Banker - Bank Owned,Mike Willams,9/20/2012,4,WFMBS 2006-5,6/1/2013,
16779479,10/8/2012,10/10/2012,,10/24/2012,,11/30/2012,YYFRYZ,Honolulu HomeLoans Inc,6850424100,HI,No,Yes,7/13/2012," $339,000.00 ",723,90," $370,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,11/15/2012,4,SEMT 2012-5,6/1/2013,
25163649,12/20/2011,12/27/2011,,1/18/2012,,2/15/2012,MNKWWA,Texas Bank Financial,82938,TX,No,No,11/22/2011," $52,891.00 ",723,95," $61,000.00 ",,N/A,,P,B,Community Banks,Steve Winston,2/15/2012,4,WFMBS 2006-AR4,6/1/2013,
28068604,3/15/2012,3/19/2012,,4/3/2012,,4/25/2012,YUDKXP,Peoples National Bank NA,603285419,IL,No,No,12/30/2011," $71,250.00 ",723,95," $75,000.00 ",,,,P,B,Community Banks,Mike Willams,4/18/2012,4,WFMBS 2006-AR4,6/1/2013,
20299861,6/21/2011,6/23/2011,,,,8/2/2011,CMXZRK,Fifth Third Bank,412617953,IN,No,No,5/23/2011," $105,450.00 ",723,95," $124,000.00 ",,,,P,B,Bank Owned Mortgage Company - National,Mike Willams,7/19/2011,4,WFMBS 2006-5,6/1/2013,
22919801,6/21/2011,6/23/2011,,7/14/2011,,8/16/2011,FGGFFJ,The Ryland Group Inc,216069583,TX,Yes,No,4/21/2011," $229,446.00 ",723,95," $250,000.00 ",,,,P,B,Mortgage Banker - (Large),Allie Martin,8/5/2011,4,WFMBS 2006-5,6/1/2013,
23489317,7/12/2011,7/14/2011,,8/12/2011,,9/7/2011,IVPNVU,Plaza Home Mortgage Inc,231631564,OR,No,No,6/14/2011," $105,000.00 ",724,84," $125,000.00 ",,,,P,B,Mortgage Banker - (Large),Mike Willams,8/31/2011,4,WFMBS 2006-5,6/1/2013,
32313719,10/12/2011,10/14/2011,11/7/2011,11/14/2011,,12/29/2011,ACYUTM,Boeing Employees Credit Union,35740190,AZ,No,No,7/22/2011," $114,300.00 ",724,84.66999817," $135,000.00 ",,,,P,G,Credit Unions,Allie Martin,12/23/2011,4,WFMBS 2006-AR4,6/1/2013,
21362409,3/19/2010,3/11/2010,,,,7/27/2010,BYREXO,Fifth Third Bank,409148707,OH,No,No,12/14/2009," $175,100.00 ",724,85," $175,100.00 ",,N/A,,P,B,Bank Owned Mortgage Company - National,Steve Winston,4/6/2010,4,SEMT 2012-1,6/1/2013,
20270858,7/12/2011,7/14/2011,8/5/2011,8/8/2011,,8/25/2011,VWVXNJ,Sun Home Loans,230439714,PA,No,No,3/31/2011," $179,775.00 ",724,85," $211,500.00 ",,,,P,B,Community Banks,Mike Willams,8/24/2011,4,WFMBS 2006-AR4,6/1/2013,
25112923,7/11/2012,7/12/2012,,7/18/2012,,8/13/2012,KDSQGV,Castle & Cooke Mortgage LLC,6780118,NV,No,No,5/1/2012," $134,910.00 ",724,90," $150,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,7/31/2012,4,WFMBS 2006-5,6/1/2013,
16655638,12/20/2011,12/29/2011,,1/4/2012,,1/26/2012,XFZBCD,Home Loan Center Inc,3201901,OK,No,No,10/31/2011," $157,500.00 ",724,90," $175,000.00 ",,N/A,,R,B,Mortgage Banker - (Large),Steve Winston,1/13/2012,4,WFMBS 2006-AR4,6/1/2013,
20878310,9/28/2012,9/28/2012,,,,10/23/2012,HAIEKK,BancorpSouth Bank,8000382831,AR,Yes,No,8/9/2012," $127,205.00 ",724,95," $140,000.00 ",,N/A,,P,B,Community Banks,Steve Winston,10/11/2012,4,SEMT 2012-1,6/1/2013,
28712200,7/11/2012,7/12/2012,,7/30/2012,,10/1/2012,MCEMXM,First Interstate Bank,140021465,MT,No,No,5/25/2012," $146,775.00 ",724,95," $154,500.00 ",,,,P,B,Community Banks,Allie Martin,9/7/2012,4,SEMT 2012-1,6/1/2013,
23963456,10/1/2012,10/2/2012,,10/16/2012,,11/6/2012,IPCCCU,Atlantic Coast Mortgage LLC,428941447,DC,No,Yes,7/20/2012," $412,300.00 ",724,95," $435,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,10/26/2012,4,SEMT 2012-5,6/1/2013,
26554384,8/25/2011,8/26/2011,,,,9/14/2011,WXXMGI,Provident Funding Associates LP,2074611,MO,No,No,7/11/2011," $310,000.00 ",725,84.93000031," $365,000.00 ",,N/A,,R,B,Mortgage Banker - (Large),Steve Winston,9/14/2011,4,SEMT 2012-5,6/1/2013,
27012060,12/20/2011,1/3/2012,,1/24/2012,,2/27/2012,GMUNGO,Unity Bank,603166088,NJ,No,No,10/3/2011," $440,000.00 ",725,89.80000305," $490,000.00 ",,,,P,B,Community Banks,Mike Willams,2/24/2012,4,SEMT 2012-5,6/1/2013,
28769534,3/19/2010,3/11/2010,,,,7/27/2010,HFZZET,The Home Savings and Loan Company,210093565,OH,No,No,12/2/2009," $178,200.00 ",725,89.90000153,,,,,P,B,Community Banks,Allie Martin,3/24/2010,4,WFMBS 2006-AR4,6/1/2013,
32813555,4/9/2010,5/12/2010,,,,9/15/2010,IUOXSH,Arvest Mortgage Company,5465492,OK,No,No,1/28/2010," $63,000.00 ",725,90," $70,000.00 ",,,,R,B,Community Banks,Mike Willams,6/15/2010,4,WFMBS 2006-AR4,6/1/2013,
32922138,10/8/2012,10/11/2012,,10/25/2012,,12/13/2012,ENXZFX,First Bank,6850420296,TX,No,No,7/26/2012," $200,900.00 ",725,93.01000214," $216,000.00 ",,N/A,,R,B,Community Banks,Eric Miller,11/26/2012,4,WFMBS 2006-AR4,6/1/2013,
29542866,10/12/2011,10/14/2011,,11/14/2011,,12/22/2011,CXPQIM,EverBank,1222000724,IA,No,No,8/16/2011," $100,000.00 ",725,94.33999634," $106,000.00 ",,N/A,,R,B,Bank Owned Mortgage Company - National,Steve Winston,12/22/2011,4,WFMBS 2006-AR4,6/1/2013,
17942037,10/1/2012,10/4/2012,,10/16/2012,,10/16/2012,DQXLIF,Acopia Capital Group,415172212,GA,No,No,6/20/2012," $66,025.00 ",725,95," $70,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,10/16/2012,4,WFMBS 2006-AR4,6/1/2013,
17615973,3/15/2012,3/19/2012,,4/10/2012,,6/12/2012,MBEZDA,Wright Patt Credit Union,37186798,OH,No,No,1/27/2012," $89,300.00 ",725,95," $94,000.00 ",,N/A,,P,B,Credit Unions,Steve Winston,5/14/2012,4,SEMT 2012-1,6/1/2013,
20368483,7/11/2012,7/12/2012,,8/2/2012,,9/18/2012,GLVRVQ,Imortgage.Com Inc,8950732,CA,No,No,3/30/2012," $137,750.00 ",725,95," $145,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,9/18/2012,4,SEMT 2012-1,6/1/2013,
23457307,6/27/2012,6/27/2012,,7/23/2012,,8/30/2012,KFFNSB,ARK-LA-TEX Financial Services LLC,409857919,MI,No,No,1/3/2012," $137,750.00 ",725,95," $145,000.00 "," $132,164.00 ",N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,8/20/2012,4,WFMBS 2006-5,6/1/2013,
27811449,11/23/2010,11/23/2010,,,,12/20/2010,MTNUHR,America First Federal Credit Union,25620832,UT,No,No,8/4/2010," $153,900.00 ",725,95," $162,000.00 ",,,,R,B,Credit Unions,Allie Martin,12/23/2010,5,WFMBS 2006-AR4,6/1/2013,
18865829,7/11/2012,7/12/2012,8/3/2012,8/7/2012,,9/20/2012,QLFYIA,Citywide Home Loans a Utah corporation,412002206,CO,No,No,3/13/2012," $161,500.00 ",725,95," $175,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,9/20/2012,4,SEMT 2012-5,6/1/2013,
19149713,12/20/2011,1/6/2012,,1/9/2012,,1/25/2012,EACCBU,MegaStar Financial Corporation,3301828808,CO,No,No,10/18/2011," $171,000.00 ",725,95," $180,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,Allie Martin,1/24/2012,4,WFMBS 2006-AR4,6/1/2013,
22261072,3/15/2012,3/19/2012,,4/3/2012,,4/25/2012,TUKBYC,Peoples National Bank NA,40230,IL,No,No,2/3/2012," $59,000.00 ",726,84.29000092," $70,000.00 ",,,,R,B,Community Banks,Mike Willams,4/19/2012,4,SEMT 2012-1,6/1/2013,
24554155,9/21/2011,9/28/2011,,10/6/2011,,10/19/2011,NRFTET,Carnegie Mortgage LLC,18303396,WA,No,No,6/24/2011," $282,000.00 ",726,89.51999664," $315,000.00 ",,N/A,,P,B,Mortgage Banker - (Large),Steve Winston,10/13/2011,4,SEMT 2012-5,6/1/2013,
27880852,4/19/2011,5/4/2011,,5/19/2011,,6/16/2011,DOQPNZ,Hillsdale County National Bank,65302,MI,No,No,3/4/2011," $48,500.00 ",726,89.98000336," $54,000.00 "," $60,790.00 ",N/A,,P,B,Community Banks,Steve Winston,6/6/2011,4,SEMT 2012-5,6/1/2013,
31705528,1/11/2013,1/16/2013,,,,,LTUZVQ,Century Mortgage Company,47265145,KY,No,No,10/18/2012," $164,700.00 ",726,90," $183,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,,,,SEMT 2012-5,6/1/2013,
16958302,4/19/2011,4/25/2011,,,,5/13/2011,JEGTEY,"Wells Fargo Bank, N.A.",3546083,NY,No,No,12/1/2010," $288,000.00 ",726,90," $320,000.00 ",,,,P,B,Bank Owned Mortgage Company - National,Mike Willams,5/10/2011,4,SEMT 2012-5,6/1/2013,
20380228,1/3/2013,1/4/2013,,1/14/2013,,1/29/2013,RVRWPY,"Wells Fargo Bank, N.A.",414066902,NY,No,No,5/4/2012," $115,900.00 ",726,95," $122,500.00 "," $124,488.00 ",,,P,B,Bank Owned Mortgage Company - National,Mike Willams,1/25/2013,4,WFMBS 2006-5,6/1/2013,
27129755,12/20/2011,12/27/2011,,1/18/2012,,2/22/2012,FHUJOQ,Commercial Bank of Texas NA,19471766,TX,No,No,11/18/2011," $137,275.00 ",726,95," $146,000.00 ",,,,P,B,Community Banks,Allie Martin,2/15/2012,4,WFMBS 2006-5,6/1/2013,
28499941,1/11/2013,1/16/2013,,,,,FBAENI,The Bankers Guarantee Title & Trust Company,56360,OH,No,No,12/12/2012," $159,600.00 ",726,95," $168,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,,,,WFMBS 2006-AR4,6/1/2013,
23297311,3/15/2012,3/19/2012,,4/19/2012,,6/18/2012,DTFDOR,Bankers Bank,1180011317,IN,No,No,12/22/2011," $221,000.00 ",727,85," $260,000.00 ",,,,X,B,Community Banks,Mike Willams,5/30/2012,4,SEMT 2012-5,6/1/2013,
33731976,9/21/2011,9/28/2011,10/20/2011,10/27/2011,,11/21/2011,VXQXQN,Home Savings of America,1122571756,CA,No,No,5/9/2011," $360,800.00 ",727,88," $410,000.00 ",,,,P,B,Community Banks,Mike Willams,11/16/2011,4,WFMBS 2006-AR4,6/1/2013,
23696914,11/23/2010,1/10/2011,,,,2/2/2011,YFCJAW,Nova Financial & Investment Corporation,221708680,AZ,No,No,7/15/2010," $103,500.00 ",727,90," $115,000.00 ",,,,P,G,Mortgage Banker - Bank Owned,Mike Willams,1/24/2011,4,SEMT 2012-1,6/1/2013,
21380854,7/11/2012,7/12/2012,7/27/2012,8/7/2012,,10/2/2012,FUZNMN,Main Street Financial Inc,292452026,FL,No,No,5/30/2012," $119,700.00 ",727,90," $133,000.00 ",,,,P,G,Mortgage Banker - Bank Owned,Mike Willams,9/19/2012,4,WFMBS 2006-5,6/1/2013,
21773201,6/27/2012,6/27/2012,,7/23/2012,,8/30/2012,DXCAHY,ARK-LA-TEX Financial Services LLC,410806079,CA,No,No,3/14/2012," $274,500.00 ",727,90," $309,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,8/21/2012,4,SEMT 2012-5,6/1/2013,
20824138,6/8/2012,6/8/2012,,,,6/25/2012,DYWUEL,Guaranteed Rate Inc,11400727812,NJ,No,No,," $370,800.00 ",727,90," $412,000.00 ",,,,P,B,Mortgage Banker - (Large),,,5,SEMT 2012-5,6/1/2013,
30679084,10/12/2011,11/15/2011,,12/6/2011,1/13/2012,1/17/2012,OSKTRJ,"Rabobank, National Association",8911015833,CA,No,No,3/8/2011," $108,205.00 ",727,95," $114,000.00 ",,,,P,B,Community Banks,Mike Willams,12/27/2011,4,SEMT 2012-1,6/1/2013,
33690194,12/20/2011,12/27/2011,,1/19/2012,,2/21/2012,JXAIAB,Network Funding Lp,8021092001,WI,No,No,10/21/2011," $113,050.00 ",727,95," $124,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,2/16/2012,4,WFMBS 2006-5,6/1/2013,
27747439,3/15/2012,3/19/2012,,4/9/2012,,5/14/2012,BIHMZB,Resource Lenders Inc,20117751,CA,No,No,12/27/2011," $399,000.00 ",727,95," $425,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Mike Willams,5/11/2012,4,SEMT 2012-1,6/1/2013,
30712129,6/25/2012,6/25/2012,,,,7/19/2012,BVOKMC,Gateway Funding Diversified Mortgage Svcs LP,1229006275,NJ,No,No,5/15/2012," $309,500.00 ",728,84.55999756," $366,000.00 "," $345,000.00 ",,,R,B,Mortgage Banker - (Large),Mike Willams,6/27/2012,4,SEMT 2012-1,6/1/2013,
32772714,10/1/2012,10/4/2012,,10/25/2012,,12/13/2012,OCFWRV,Discover Home Loans Inc,7213026,OH,No,No,6/18/2012," $293,200.00 ",728,84.98999786," $345,000.00 ",,N/A,,X,B,Mortgage Banker - Bank Owned,Steve Winston,11/21/2012,4,SEMT 2012-5,6/1/2013,
22773854,12/20/2011,12/27/2011,,1/2/2012,,1/5/2012,ZAUZAR,Churchill Mortgage Corporation,380847046,IN,No,No,10/12/2011," $199,000.00 ",728,88.44000244," $225,000.00 ",,,,R,B,Mortgage Banker - Bank Owned,Allie Martin,1/4/2012,4,WFMBS 2006-AR4,6/1/2013,
20422388,12/20/2011,1/5/2012,,1/9/2012,,2/7/2012,CMNVUE,Northwest Mortgage Group Inc,02-1080015,OR,No,Yes,10/18/2011," $94,400.00 ",728,89.95999908," $115,000.00 ",,,,P,B,Mortgage Banker - Bank Owned,Allie Martin,1/25/2012,4,SEMT 2012-1,6/1/2013,
17270277,3/15/2012,3/19/2012,,4/19/2012,,6/11/2012,AMZBZV,State Bank of Lincoln,,IL,No,No,12/9/2011," $108,000.00 ",728,90," $125,000.00 ",,N/A,,P,B,Community Banks,Steve Winston,5/29/2012,4,SEMT 2012-1,6/1/2013,
22894628,6/21/2011,6/29/2011,7/21/2011,7/25/2011,9/23/2011,9/29/2011,UZGLUR,Legacy Banks,1003326,MA,No,Yes,2/16/2011," $147,600.00 ",728,90," $170,000.00 "," $170,000.00 ",N/A,,P,G,Community Banks,Steve Winston,8/12/2011,4,SEMT 2012-5,6/1/2013,
20553000,10/12/2011,10/24/2011,,11/9/2011,,12/8/2011,DSNDCE,Sterling Savings Bank,226282,CA,No,No,8/29/2011," $409,500.00 ",728,90," $470,000.00 ",,N/A,,P,B,Mortgage Banker - Bank Owned,Steve Winston,12/8/2011,4,SEMT 2012-5,6/1/2013,
15491583,4/19/2011,5/4/2011,,,,5/13/2011,QELQWU,Telcom Credit Union,63192,MI,No,No,2/25/2011," $87,400.00 ",728,95," $100,000.00 "," $83,000.00 ",,,P,B,Credit Unions,Allie Martin,5/12/2011,4,WFMBS 2006-5,6/1/2013,
19831911,12/29/2011,12/29/2011,,1/6/2012,,1/26/2012,RXFYQZ,"Wells Fargo Bank, N.A.",120671581,CA,No,No,5/25/2010," $209,000.00 ",728,95," $220,000.00 "," $151,423.00 ",,,P,B,Bank Owned Mortgage Company - National,Allie Martin,1/12/2012,5,SEMT 2012-5,6/1/2013,
